reg,cl_age90,benef_h,benef_f,astrazeneca_risk,balance_astr_h,balance_astr_f
1,29,0.0,0.0,5.8,-5.8,-5.8
2,29,1.28,0.84,5.8,-4.52,-4.96
3,29,2.64,2.0,5.8,-3.1599999999999997,-3.8
4,29,2.28,1.24,5.8,-3.52,-4.56
6,29,1.28,3.2,5.8,-4.52,-2.5999999999999996
11,29,3.76,2.36,5.8,-2.04,-3.44
24,29,0.4,0.4,5.8,-5.3999999999999995,-5.3999999999999995
27,29,3.28,1.32,5.8,-2.52,-4.4799999999999995
28,29,2.52,1.4,5.8,-3.28,-4.4
32,29,2.88,1.64,5.8,-2.92,-4.16
44,29,1.6,0.96,5.8,-4.199999999999999,-4.84
52,29,0.56,0.2,5.8,-5.24,-5.6
53,29,0.8,0.4,5.8,-5.0,-5.3999999999999995
75,29,1.4,0.8,5.8,-4.4,-5.0
76,29,1.36,0.52,5.8,-4.4399999999999995,-5.279999999999999
84,29,2.12,1.08,5.8,-3.6799999999999997,-4.72
93,29,2.56,0.84,5.8,-3.2399999999999998,-4.96
94,29,0.0,0.0,5.8,-5.8,-5.8
1,39,5.36,2.28,4.6,0.7600000000000007,-2.32
2,39,6.08,3.8,4.6,1.4800000000000004,-0.7999999999999998
3,39,3.52,2.64,4.6,-1.0799999999999996,-1.9599999999999995
4,39,7.92,4.16,4.6,3.3200000000000003,-0.4399999999999995
6,39,2.36,5.92,4.6,-2.2399999999999998,1.3200000000000003
11,39,11.16,6.24,4.6,6.5600000000000005,1.6400000000000006
24,39,6.28,3.12,4.6,1.6800000000000006,-1.4799999999999995
27,39,2.36,1.2,4.6,-2.2399999999999998,-3.3999999999999995
28,39,5.84,3.04,4.6,1.2400000000000002,-1.5599999999999996
32,39,6.16,3.84,4.6,1.5600000000000005,-0.7599999999999998
44,39,5.6,2.64,4.6,1.0,-1.9599999999999995
52,39,2.04,0.84,4.6,-2.5599999999999996,-3.76
53,39,0.6,0.24,4.6,-3.9999999999999996,-4.359999999999999
75,39,3.4,1.6,4.6,-1.1999999999999997,-2.9999999999999996
76,39,5.76,3.0,4.6,1.1600000000000001,-1.5999999999999996
84,39,5.08,2.84,4.6,0.4800000000000004,-1.7599999999999998
93,39,7.24,2.88,4.6,2.6400000000000006,-1.7199999999999998
94,39,2.32,0.8,4.6,-2.28,-3.8
1,49,23.28,10.44,5.8,17.48,4.64
2,49,28.04,17.72,5.8,22.24,11.919999999999998
3,49,13.8,10.76,5.8,8.0,4.96
4,49,14.96,7.56,5.8,9.16,1.7599999999999998
6,49,0.0,0.0,5.8,-5.8,-5.8
11,49,30.24,16.52,5.8,24.439999999999998,10.719999999999999
24,49,13.12,6.4,5.8,7.319999999999999,0.6000000000000005
27,49,10.8,4.88,5.8,5.000000000000001,-0.9199999999999999
28,49,9.12,4.8,5.8,3.3199999999999994,-1.0
32,49,21.96,13.24,5.8,16.16,7.44
44,49,14.96,7.2,5.8,9.16,1.4000000000000004
52,49,8.16,3.44,5.8,2.3600000000000003,-2.36
53,49,5.84,2.48,5.8,0.040000000000000036,-3.32
75,49,8.48,4.0,5.8,2.6800000000000006,-1.7999999999999998
76,49,9.36,4.68,5.8,3.5599999999999996,-1.12
84,49,15.08,8.6,5.8,9.280000000000001,2.8
93,49,17.16,7.2,5.8,11.36,1.4000000000000004
94,49,3.0,1.04,5.8,-2.8,-4.76
1,59,62.24,27.64,3.2,59.04,24.44
2,59,32.52,20.32,3.2,29.320000000000004,17.12
3,59,60.28,46.64,3.2,57.08,43.44
4,59,29.04,14.84,3.2,25.84,11.64
6,59,6.0,15.12,3.2,2.8,11.919999999999998
11,59,74.24,40.44,3.2,71.03999999999999,37.239999999999995
24,59,35.72,17.88,3.2,32.519999999999996,14.68
27,59,26.0,12.04,3.2,22.8,8.84
28,59,25.24,13.6,3.2,22.04,10.399999999999999
32,59,42.12,25.2,3.2,38.919999999999995,22.0
44,59,31.32,15.0,3.2,28.12,11.8
52,59,23.88,9.96,3.2,20.68,6.760000000000001
53,59,12.52,5.36,3.2,9.32,2.16
75,59,17.2,8.36,3.2,14.0,5.159999999999999
76,59,24.32,12.48,3.2,21.12,9.280000000000001
84,59,36.52,20.68,3.2,33.32,17.48
93,59,42.2,18.08,3.2,39.0,14.879999999999999
94,59,20.48,7.28,3.2,17.28,4.08
1,69,70.36,31.28,3.0,67.36,28.28
2,69,33.12,20.76,3.0,30.119999999999997,17.76
3,69,114.8,88.64,3.0,111.8,85.64
4,69,38.72,19.68,3.0,35.72,16.68
6,69,28.08,70.56,3.0,25.08,67.56
11,69,140.28,76.8,3.0,137.28,73.8
24,69,71.6,35.36,3.0,68.6,32.36
27,69,59.12,27.44,3.0,56.12,24.44
28,69,50.56,27.2,3.0,47.56,24.2
32,69,89.32,53.68,3.0,86.32,50.68
44,69,62.4,30.2,3.0,59.4,27.2
52,69,40.28,16.96,3.0,37.28,13.96
53,69,27.84,12.0,3.0,24.84,9.0
75,69,35.0,16.88,3.0,32.0,13.879999999999999
76,69,47.04,23.88,3.0,44.04,20.88
84,69,73.0,41.16,3.0,70.0,38.16
93,69,81.08,34.56,3.0,78.08,31.560000000000002
94,69,33.2,11.84,3.0,30.200000000000003,8.84
1,79,28.72,12.72,2.2,26.52,10.52
2,79,78.6,49.16,2.2,76.39999999999999,46.959999999999994
3,79,49.56,38.28,2.2,47.36,36.08
4,79,51.12,26.36,2.2,48.919999999999995,24.16
6,79,0.0,0.0,2.2,-2.2,-2.2
11,79,141.04,77.28,2.2,138.84,75.08
24,79,87.64,43.44,2.2,85.44,41.239999999999995
27,79,70.6,32.4,2.2,68.39999999999999,30.2
28,79,67.52,36.24,2.2,65.32,34.04
32,79,105.28,62.8,2.2,103.08,60.599999999999994
44,79,87.96,42.56,2.2,85.75999999999999,40.36
52,79,42.8,18.08,2.2,40.599999999999994,15.879999999999999
53,79,31.36,13.4,2.2,29.16,11.2
75,79,37.16,17.92,2.2,34.959999999999994,15.720000000000002
76,79,65.72,33.44,2.2,63.519999999999996,31.24
84,79,88.4,50.0,2.2,86.2,47.8
93,79,87.56,37.24,2.2,85.36,35.04
94,79,36.8,13.12,2.2,34.599999999999994,10.919999999999998
1,89,0.0,0.0,1.2,-1.2,-1.2
2,89,11.2,7.0,1.2,10.0,5.8
3,89,41.48,31.92,1.2,40.279999999999994,30.720000000000002
4,89,32.84,16.88,1.2,31.640000000000004,15.68
6,89,0.0,0.0,1.2,-1.2,-1.2
11,89,64.12,33.96,1.2,62.92,32.76
24,89,24.44,12.24,1.2,23.240000000000002,11.040000000000001
27,89,27.0,12.32,1.2,25.8,11.120000000000001
28,89,11.28,6.2,1.2,10.08,5.0
32,89,34.64,20.76,1.2,33.44,19.560000000000002
44,89,25.72,12.48,1.2,24.52,11.280000000000001
52,89,13.52,5.56,1.2,12.32,4.359999999999999
53,89,3.44,1.48,1.2,2.24,0.28
75,89,14.2,6.92,1.2,13.0,5.72
76,89,22.24,11.4,1.2,21.04,10.200000000000001
84,89,22.52,13.32,1.2,21.32,12.120000000000001
93,89,26.36,11.28,1.2,25.16,10.08
94,89,16.48,6.0,1.2,15.280000000000001,4.8
